Company Name,Agency,Instrument Type,Instrument_Family,Fee_Avg_Lakhs,Fee_Low_Lakhs,Fee_High_Lakhs,Rating,Rating Date,Amount Cr,Sector,Pipeline_Window,Current Urgency,Call_Window,NCD_Flag,Why Target,ACER Pitch Angle
M A F Clothing Pvt. Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4+,19-Nov-2025,4.0,Textiles,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Real Granito Pvt. Ltd.,ICRA,Term Loan,Term Loan,5.0,3.0,7.0,B,19-Nov-2025,3.85,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Mewar Polytex Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,BB-,19-Nov-2025,3.63,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Fair Food Overseas Pvt. Ltd.,BRICKWORK,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,BB,19-Nov-2025,3.2,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Ambani Vitrified Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,19-Nov-2025,3.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Govindam Projects Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,19-Nov-2025,3.0,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Bhagirathi Transcorpo Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,19-Nov-2025,2.63,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Adachi Natural Polymer Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,19-Nov-2025,2.5,Chemicals & Pharma,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Mangalam Drugs & Organics Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,19-Nov-2025,2.5,Chemicals & Pharma,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Akross Synthetics Pvt. Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,19-Nov-2025,2.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Durga Polysters Pvt. Ltd. [Merged],ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,19-Nov-2025,2.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Ramsons Castings Pvt. Ltd.,ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,19-Nov-2025,2.0,Steel & Metals,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Real Granito Pvt. Ltd.,ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,19-Nov-2025,2.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Akross Synthetics Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,19-Nov-2025,1.84,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Ramsons Castings Pvt. Ltd.,ICRA,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B+/A4,19-Nov-2025,1.25,Steel & Metals,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),NCD — SEBI License Required,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Fair Food Overseas Pvt. Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,BB,19-Nov-2025,1.22,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Vivaa Tradecom Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,C,19-Nov-2025,1.17,Trading/Exports,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Amkette Analytics Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,19-Nov-2025,1.0,IT/Technology,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
G S Motors Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,19-Nov-2025,1.0,Automobiles,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Goodwill Fabrics Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,19-Nov-2025,1.0,Textiles,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Vivaa Tradecom Ltd.,BRICKWORK,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,19-Nov-2025,1.0,Trading/Exports,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Merit Organics Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,19-Nov-2025,0.95,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Malhati Tea & Inds. Ltd.,ICRA,Term Loan,Term Loan,5.0,3.0,7.0,B-,19-Nov-2025,0.89,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Bhagyashree Colours Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,19-Nov-2025,0.84,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Saurabh Agrotech Pvt. Ltd.,ICRA,Term Loan,Term Loan,5.0,3.0,7.0,B+,19-Nov-2025,0.82,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Bhagyashree Colours Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,19-Nov-2025,0.66,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Friends Timber Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,19-Nov-2025,0.25,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Malhati Tea & Inds. Ltd.,ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,B-,19-Nov-2025,0.15,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Banas Stones Pvt. Ltd.,ICRA,Term Loan,Term Loan,5.0,3.0,7.0,B+,19-Nov-2025,0.1,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Harmony Plastics Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,19-Nov-2025,0.1,Chemicals & Pharma,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Saurabh Agrotech Pvt. Ltd.,ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,19-Nov-2025,0.1,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Shubh Rice Exports Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B-,19-Nov-2025,0.04,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Durga Polysters Pvt. Ltd. [Merged],ICRA,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B+/A4,19-Nov-2025,0.03,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),NCD — SEBI License Required,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Vivaa Tradecom Ltd.,BRICKWORK,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,19-Nov-2025,0.0,Trading/Exports,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Konark Gujarat P V Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,20-Nov-2025,46.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Yentop Manickavel Sons Edible Oils Pvt. Ltd.,CARE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,B-,20-Nov-2025,44.0,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Ketul Chem Private Limited,Infomerics,Long Term Bank Facilities - Fund Based,Other/Unknown,3.0,2.0,5.0,IVR B+ (INC) (Downgraded),20-Nov-2025,41.0,Chemicals & Pharma,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Shri Nivas (Gujarat) Laboratories Pvt. .Ltd,ICRA,Term Loan,Term Loan,5.0,3.0,7.0,B+,20-Nov-2025,35.0,Healthcare,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Som Distilleries & Breweries Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,B,20-Nov-2025,34.52,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
M E P Sanjose Mahuva Kagavadar Road Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,20-Nov-2025,30.23,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Stanadyne India Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,BB/A4,20-Nov-2025,30.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
SSNR Power Private Limited,Infomerics,Long Term Facilities,LT Bank Facilities,5.0,3.0,7.0,IVR BB (INC)(Downgraded),20-Nov-2025,28.79,Energy,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Ketul Chem Private Limited,Infomerics,Long Term Bank Facilities - Proposed,Other/Unknown,3.0,2.0,5.0,IVR B+ (INC) (Downgraded),20-Nov-2025,25.0,Chemicals & Pharma,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
P O C L Enterprises Ltd.,BRICKWORK,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4+,20-Nov-2025,24.3,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Modi Car Agencies Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,20-Nov-2025,23.48,Automobiles,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Chemtrade Overseas Private Limited,Infomerics,Short Term Bank Facilities,ST Bank Facilities,2.5,2.0,3.0,IVR A4 (INC)(Reaffirmed),20-Nov-2025,20.0,Chemicals & Pharma,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Modi Car Agencies Pvt. Ltd.,CRISIL,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,B,20-Nov-2025,20.0,Automobiles,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Ticel Biopark Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,20-Nov-2025,20.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Coatall Films Pvt. Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4+,20-Nov-2025,18.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Som Distilleries & Breweries Ltd.,BRICKWORK,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,20-Nov-2025,18.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Modi Car Agencies Pvt. Ltd.,CRISIL,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,B,20-Nov-2025,16.52,Automobiles,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Stanadyne India Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,BB,20-Nov-2025,15.83,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sri Kanakamahalakshmi Agencies,Infomerics,Long Term Bank Facility,LT Bank Facilities,5.0,3.0,7.0,IVR B+ (INC)(Downgraded),20-Nov-2025,15.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Morth Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,20-Nov-2025,12.5,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Regent Energy Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,20-Nov-2025,12.4,Energy,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
R P L Projects Ltd.,ICRA,Term Loan,Term Loan,5.0,3.0,7.0,B,20-Nov-2025,11.02,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Brahmanand Himghar Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,20-Nov-2025,10.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
R P L Projects Ltd.,ICRA,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,20-Nov-2025,10.0,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Coatall Films Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB,20-Nov-2025,9.98,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Anlon Healthcare Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,C,20-Nov-2025,8.47,Healthcare,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Marelli U M Electronic Systems Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,20-Nov-2025,7.36,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Jaswantsingh Oberoi Construction Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,20-Nov-2025,7.0,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
K V R Exim Pvt. Ltd.,BRICKWORK,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,20-Nov-2025,7.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
R E Infra Private Limited,Infomerics,Long Term Facilities,LT Bank Facilities,5.0,3.0,7.0,IVR BB- (INC)(Downgraded),20-Nov-2025,7.0,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Om Construction,Infomerics,Short Term Bank Facilities,ST Bank Facilities,2.5,2.0,3.0,IVR A4 (INC) (Reaffirmed),20-Nov-2025,6.75,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Chemtrade Overseas Private Limited,Infomerics,Long Term Bank Facilities,LT Bank Facilities,5.0,3.0,7.0,IVR C+ (INC)(Downgraded),20-Nov-2025,5.0,Chemicals & Pharma,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
J B Fashions Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,20-Nov-2025,5.0,Textiles,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
J B Fashions Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,20-Nov-2025,5.0,Textiles,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Nis Facility Mgmt. Services Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,20-Nov-2025,5.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Mohit Polytech Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,20-Nov-2025,4.96,IT/Technology,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Vinir Engineering Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4+,20-Nov-2025,4.5,Manufacturing,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Delight Dairy Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,20-Nov-2025,4.0,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Dhariwal Steel Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,20-Nov-2025,4.0,Steel & Metals,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Neel Kanth Agrofood Products Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,20-Nov-2025,3.5,Agro & Food,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Shri Santhosh Meenakshi Textiles Pvt. Ltd.,CRISIL,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,B,20-Nov-2025,3.14,Construction,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Oswin Wood Panels Pvt. Ltd.,BRICKWORK,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,20-Nov-2025,3.05,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Coatall Films Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,BB,20-Nov-2025,3.0,Other,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
SSNR Power Private Limited,Infomerics,Short Term Facilities,ST Bank Facilities,2.5,2.0,3.0,IVR A4 (INC)(Downgraded),20-Nov-2025,3.0,Energy,October 2026,MEDIUM,Nov Wk3 (Nov 15-21),Standard,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
