Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
India Pesticides Ltd.,CARE,Bank Guarantee,A 1+,2025-09-10,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Brilliant Bio Pharma Pvt. Ltd.,CARE,Bank Guarantee,A 3+,2025-09-10,MEDIUM,Pharma/Biotech,Active,Upgraded,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Aastrid Life Sciences Pvt. Ltd.,CRISIL,Long term Loans,BB+,2025-09-09,MEDIUM,Pharma/Biotech,INC,Withdrawn,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Pearl Polymers Ltd.,IND-RA,Non-government debt,B-/A4,2025-09-09,MEDIUM,Chemicals,Active,Withdrawn,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Sudarshan Pharma Industries Limited,Infomerics,Short Term Bank Facilities,IVR A3 (Reaffirmed),2025-09-09,MEDIUM,Pharma/Biotech,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Ishaan Metplast Synergy Limited (Erstwhile Ishaan Plastics Private Limited),Infomerics,Short Term Bank Facilities,IVR A3+ (Reaffirmed),2025-09-08,MEDIUM,Chemicals,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Al-Aziz Plastics Pvt. Ltd.,CARE,Non-government debt,A/A1,2025-09-07,MEDIUM,Chemicals,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
K G Petrochem Ltd.,CARE,Bank Guarantee,A 3,2025-09-07,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Apollo Pharmacies Ltd.,CRISIL,Bank Guarantee,A 1,2025-09-07,MEDIUM,Pharma/Biotech,Active,Rating Watch,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Insecticides (India) Ltd.,CRISIL,Term loans,A+,2025-09-07,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
S V R Drugs Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-09-07,MEDIUM,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Adorn Speciality Polymers Pvt. Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-09-06,MEDIUM,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Mangalore Refinery & Petrochemicals Ltd.,ICRA,Term loans,AAA,2025-09-06,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Bal Pharma Ltd.,ACUITE,Long term Loans,BBB-,2025-09-06,MEDIUM,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Premas Life Sciences Pvt. Ltd.,CRISIL,Term loans,BBB+,2025-09-06,MEDIUM,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Super Plastic Coats Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-09-06,MEDIUM,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Polyset Plastics Pvt. Ltd.,CRISIL,Short-term loan,A 3+,2025-09-06,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Premier Solvents Pvt. Ltd.,CARE,Fund based financial facility/instrument,B-,2025-09-05,MEDIUM,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Shree Ram Resins Private Limited,Infomerics,Long Term Bank Facilities - Fund Based - Cash Credit,IVR B- (INC)(Downgraded),2025-08-26,MEDIUM,Chemicals,INC,Negative,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Chowdhry Rubber and Chemical Private Limited,Infomerics,Short Term Facility,IVR A4 (INC)(Reaffirmed),2025-08-20,MEDIUM,Chemicals,INC,Nil,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Cymbio Pharma Private Limited,Infomerics,Long Term Bank Facilities,IVR C (INC)(Downgraded),2025-08-14,MEDIUM,Pharma/Biotech,INC,Negative,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Modi Biotech Private Limited,Infomerics,Short Term Bank Facilities,IVR A3+ (Upgraded),2025-08-12,MEDIUM,Pharma/Biotech,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Universal Speciality Chemicals Pvt. Ltd.,CRISIL,Long term Loans,B,2025-08-12,MEDIUM,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Cyamopsis Biotech (India) Pvt. Ltd.,CRISIL,Term loans,B+,2025-08-12,MEDIUM,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Gennova Biopharmaceuticals Ltd.,CARE,Non-government debt,AA/A1+,2025-08-10,MEDIUM,Pharma/Biotech,Active,Upgraded,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Maharashtra Solvent Extractions Pvt. Ltd.,ACUITE,Bank Guarantee,A 2+,2025-08-10,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
I V L Dhunseri Petrochem Inds. Pvt. Ltd.,CARE,Non-government debt,A+/A1+,2025-08-10,MEDIUM,Chemicals,Active,Downgraded,Recently downgraded — evaluate switching.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
V K A Polymers Pvt. Ltd.,IND-RA,Term loans,BBB+,2025-08-10,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Elysium Pharmaceuticals Ltd.,BRICKWORK,Term loans,C,2025-08-09,MEDIUM,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Acebright (India) Pharma Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-08-09,MEDIUM,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Satyadeeptha Pharmaceuticals Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4+,2025-08-09,MEDIUM,Pharma/Biotech,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Dorf-Ketal Chemicals India Ltd.,CRISIL,Long term Loans,AA,2025-08-08,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Sukhjit Starch & Chemicals Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 1,2025-08-08,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
S S V Pharma Pvt. Ltd.,BRICKWORK,Term loans,D,2025-08-08,MEDIUM,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Ajooni Biotech Ltd.,CRISIL,Fund based financial facility/instrument,BB+,2025-08-08,MEDIUM,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Aequs Engineered Plastics Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (Downgraded and Withdrawn),2025-08-08,MEDIUM,Chemicals,Active,Negative,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Sindhu Trade Links Ltd. (1992),IND-RA,Non-government debt,BB+/A4+,2025-08-08,MEDIUM,Chemicals,Active,Upgraded,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Concept Pharmaceuticals Ltd.,CRISIL,Bank Guarantee,A 3+,2025-08-08,MEDIUM,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
VCI Chemicals Industries Limited,Infomerics,Short Term Bank Facility,IVR A4 (Reaffirmed),2025-08-08,MEDIUM,Chemicals,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Sai Surfactants Pvt. Ltd.,CARE,Non-government debt,B+/A4,2025-08-07,MEDIUM,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Dhanuka Biotech Pvt. Ltd.,CARE,Bank Guarantee,BBB+,2025-08-07,MEDIUM,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Lakshmi Ganesh Agro Fertilizers Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BB,2025-08-07,MEDIUM,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Esdee Paints Ltd.,CRISIL,Bank Guarantee,A 4+,2025-08-07,MEDIUM,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Torrent Pharmaceuticals Ltd.,ICRA,Fund based financial facility/instrument,AA+,2025-08-07,MEDIUM,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
J B Chemicals & Pharmaceuticals Ltd.,CRISIL,Fund based financial facility/instrument,AA,2025-08-07,MEDIUM,Pharma/Biotech,Active,Rating Watch,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Biodeal Pharmaceuticals Ltd.,ICRA,Non-government debt,BBB-/A3,2025-08-05,MEDIUM,Pharma/Biotech,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Global Chemicals Ltd.,CRISIL,Fund based financial facility/instrument,BB,2025-08-05,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Dasha Pharmaceuticals Private Limited,Infomerics,Long Term Bank Facilities - Cash Credit,IVR BB (Upgraded),2025-08-01,MEDIUM,Pharma/Biotech,Active,Stable,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Shree TNB Polymer Limited,Infomerics,Short Term Bank Facilities,IVR A3 (Assigned),2025-08-01,MEDIUM,Chemicals,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Yash Resources Recycling Limited (Erstwhile Yash Pigments Limited),Infomerics,Short Term Facilities,IVR A2+ (Upgraded),2025-08-01,MEDIUM,Chemicals,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Inkel EKK Roads Private Limited,Infomerics,Long Term Bank facilities,IVR BBB- (Reaffirmed),2025-07-29,MEDIUM,Chemicals,Active,Stable,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
GOC Petrochemicals Private Limited,Infomerics,Long Term Facilities,IVR BB (INC)(Downgraded),2025-07-25,MEDIUM,Chemicals,INC,Negative,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Agio Pharmaceuticals Limited,Infomerics,Short Term Bank Facilities,IVR A3 (Reaffirmed),2025-07-18,MEDIUM,Pharma/Biotech,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Zetts Cosmetics Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BBB,2025-07-11,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Diach Chemicals & Pigments Pvt. Ltd.,CARE,Letter Of credit,A 4,2025-07-11,MEDIUM,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Dhunseri Ventures Limited (erstwhile Dhunseri Petrochem Limited),Infomerics,Short Term Bank Facility,IVR A1+ (Reaffirmed),2025-07-11,MEDIUM,Chemicals,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Avani Petrochem Pvt. Ltd.,ICRA,Term loans,B+,2025-07-11,MEDIUM,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
A G Ashtavinayaka Petrochem Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-07-11,MEDIUM,Chemicals,Active,Stable,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Nandan Petrochem Ltd.,ICRA,Non-government debt,BB+/A4+,2025-07-11,MEDIUM,Chemicals,Active,Downgraded,Recently downgraded — evaluate switching.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Emcure Pharmaceuticals Ltd.,CARE,Non-government debt,AA/A1+,2025-07-10,MEDIUM,Pharma/Biotech,Active,Upgraded,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Ultramarine & Pigments Ltd.,ICRA,Non-government debt,A+/A1+,2025-07-10,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Hemodiaz Life Sciences Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-10,MEDIUM,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Shiva Pharmachem Ltd.,CARE,Non-fund-based financial facility/instrument,A 2+,2025-07-10,MEDIUM,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Rajlaxmi Petrochem Pvt. Ltd.,BRICKWORK,Term loans,D,2025-07-10,MEDIUM,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Periwal Polymers Pvt. Ltd.,CARE,Non-government debt,B-/A4,2025-07-08,MEDIUM,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Gacl-Nalco Alkalies & Chemicals Pvt. Ltd.,ICRA,Term loans,BBB+,2025-07-07,MEDIUM,Chemicals,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Almega Coatings Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (Assigned),2025-07-07,MEDIUM,Chemicals,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Sentiss Pharma Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,A,2025-07-07,MEDIUM,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Therdose Pharma Pvt. Ltd.,CRISIL,Long term Loans,D,2025-07-07,MEDIUM,Pharma/Biotech,Active,Withdrawn,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Kejriwal Dyeing & Prtg. Mills Pvt. Ltd.,CRISIL,Letter Of credit,A 1,2025-07-07,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Aequs Engineered Plastics Pvt. Ltd.,CARE,Non-government debt,BB+/A4+,2025-07-07,MEDIUM,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Sri Narayani Plastics Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-07,MEDIUM,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Biophore India Pharmaceuticals Pvt. Ltd.,CRISIL,Letter Of credit,A 2+,2025-07-05,MEDIUM,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Pinkku Enterrprises,Infomerics,Long Term Fund Based Bank Facilities - Cash Credit,IVR BBB- (Assigned),2025-07-04,MEDIUM,Chemicals,Active,Stable,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Dugar Polymers Limited,Infomerics,Long Term Facilities,IVR BBB- (Reaffirmed),2025-07-01,MEDIUM,Chemicals,Active,Stable,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Shubham Chemicals and Solvents Limited,Infomerics,Long Term/Short Term Bank Facilities,IVR BB+/ IVR A4+ (Upgraded) (Withdrawn),2025-06-24,MEDIUM,Chemicals,Active,Stable/-,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Nikhil Adhesives Limited,Infomerics,Long Term/ Short Term Bank Facilities,IVR B/IVR A4; (INC)(Downgraded/Reaffirmed),2025-06-17,MEDIUM,Chemicals,INC,Negative/-,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Krishna Speciality Chemicals Private Limited,Infomerics,Long Term Bank Facility,IVR BBB+ (Assigned),2025-06-16,MEDIUM,Chemicals,Active,Stable,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Vinko Auto Industries Limited,Infomerics,Short Term Bank Facilities,IVR A4 (Reaffirmed) (Withdrawn),2025-06-13,MEDIUM,Chemicals,Active,Nil,Active Infomerics Chem/Pharma client — opportunity for ACER.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Auro Impex & Chemicals Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2025-06-12,MEDIUM,Chemicals,INC,Nil,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Anirudh Plastic Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-06-11,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Gujarat Insecticides Ltd.,CRISIL,Bank Guarantee,A,2025-06-11,HIGH,Chemicals,Active,Downgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Pioneer Plastic Inds. Ltd.,ACUITE,Bank Guarantee,A 4,2025-06-11,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Marksans Pharma Ltd.,CARE,Non-fund-based financial facility/instrument,A 1+,2025-06-10,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Tata Chemicals Ltd.,CARE,Bank Guarantee,A 1+,2025-06-10,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Aimco Pesticides Ltd.,CARE,Non-government debt,BB-/A4,2025-06-10,HIGH,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Rukmani Polymers Pvt. Ltd.,CARE,Bank Guarantee,A 4+,2025-06-10,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Axxelent Pharma Science Pvt. Ltd.,IND-RA,Term loans,BB+,2025-06-06,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Pharmax India Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BBB,2025-06-05,HIGH,Pharma/Biotech,Active,Upgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Petro Carbon & Chemicals Ltd.,IND-RA,Non-fund based working capital limit,A 3+,2025-06-05,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Tinkas Industries Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-05-30,HIGH,Chemicals,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Jericho Chemicals LLP,Infomerics,Long Term Facilities,IVR B+ (INC)(Downgraded),2025-05-28,HIGH,Chemicals,INC,Negative,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Kripa Biotech LLP,Infomerics,Long Term Bank Facilities,IVR BB+ (Upgraded),2025-05-28,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Nestor Pharmaceuticals Limited,Infomerics,Long Term Facilities,IVR BB+ (Upgraded and Withdrawn),2025-05-26,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Criyagen Agri & Biotech Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-05-21,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Multifilms Plastics Pvt. Ltd.,CARE,Term loans,B-,2025-05-12,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Kwality Pharmaceuticals Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-05-12,HIGH,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Nishigandha Polymers Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-05-12,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Shree Gurukrupa Tradelink Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-05-11,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
P N P Polymers Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 3,2025-05-09,HIGH,Chemicals,Active,Initial Rating,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Hindustan Adhesives Ltd.,CARE,Bank Guarantee,A 3+,2025-05-09,HIGH,Chemicals,Active,Rating Watch,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Gujarat Credo Alumina Chemicals Ltd.,CRISIL,Term loans,BBB+,2025-05-08,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
