Company Name,Agencies Used,Agency Count,Last Rating Date,Rating,Instrument,Urgency,Last Rating Urgency,Sector,INC_Flag,Why Target,Pitch Angle
South Indian Bank Ltd.,CARE | IND-RA,2,2025-07-31,AA-,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Subam Papers Ltd.,CRISIL | ICRA,2,2025-07-31,B,Long term Loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Torrent Investments Ltd.,CRISIL | IND-RA,2,2025-07-31,A 1+,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aglon Industries Pvt. Ltd.,CARE | CRISIL,2,2025-08-01,BBB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Apl Corporation Pvt. Ltd. (2002),CARE | CRISIL,2,2025-08-01,A 2,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Durga Processors Pvt. Ltd.,ACUITE | CRISIL,2,2025-08-01,A,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
G S Autocomp Pvt. Ltd.,BRICKWORK | CRISIL,2,2025-08-01,A 4,Letter Of credit,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mehul Construction Co. Pvt. Ltd.,BRICKWORK | CRISIL,2,2025-08-01,A 3,Bank Guarantee,MEDIUM,MEDIUM,Construction,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mother India Construction Pvt. Ltd.,BRICKWORK | CRISIL,2,2025-08-01,A 4,Bank Guarantee,MEDIUM,MEDIUM,Construction,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Regency Nirman Ltd.,CARE | CRISIL,2,2025-08-01,BBB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Abhirama Steels Ltd.,BRICKWORK | IND-RA,2,2025-08-04,D,Term loans,MEDIUM,MEDIUM,Steel & Metals,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ashiana Manufacturing India Ltd.,BRICKWORK | CARE,2,2025-08-04,A 4,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Pyro Electric Instruments Goa Pvt. Ltd.,CARE | CRISIL,2,2025-08-04,A 4+,Bank Guarantee,MEDIUM,MEDIUM,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Rolex Rings Ltd.,CARE | IND-RA,2,2025-08-04,A 2+,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Lalganj Power Pvt. Ltd.,CARE | ICRA,2,2025-08-05,BBB+,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Menzies Aviation (Bengaluru) Pvt. Ltd.,CRISIL | ICRA,2,2025-08-05,A+,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shrijee Lifestyle Pvt. Ltd.,BRICKWORK | CARE,2,2025-08-05,BB+/A4+,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sri Lakshmi Godavari Spinning Mills Pvt. Ltd.,BRICKWORK | CARE,2,2025-08-05,D,Bank Guarantee,MEDIUM,MEDIUM,Textiles,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
3 B Infrastructure Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-06,C,Term loans,MEDIUM,MEDIUM,Infrastructure,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bajaj Auto Ltd.,CRISIL | IND-RA,2,2025-08-06,A 1+,Non-fund based working capital limit,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
N R Ispat & Power Pvt. Ltd.,ACUITE | CRISIL,2,2025-08-06,A,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
N R Steel & Ferro Pvt. Ltd.,ACUITE | CRISIL,2,2025-08-06,A,Long term Loans,MEDIUM,MEDIUM,Steel & Metals,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
N R T M T (India) Pvt. Ltd.,ACUITE | CRISIL,2,2025-08-06,A,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
N R V S Steels Ltd.,ACUITE | CRISIL,2,2025-08-06,A,Term loans,MEDIUM,MEDIUM,Steel & Metals,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Religare Broking Ltd.,CARE | CRISIL,2,2025-08-06,BBB+/A2,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sumeet Industries Ltd.,BRICKWORK | CRISIL,2,2025-08-06,BB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Anupama Steel Ltd.,BRICKWORK | CARE,2,2025-08-07,BBB/A3,Non-government debt,MEDIUM,MEDIUM,Steel & Metals,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
B S L Ltd.,BRICKWORK | IND-RA,2,2025-08-07,A 4+,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Chanderpur Works Pvt. Ltd.,BRICKWORK | ICRA,2,2025-08-07,B-,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Jyoti Automobiles Pvt. Ltd.,ACUITE | CARE,2,2025-08-07,BB,Long term Loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
M S Infraengineers Pvt. Ltd.,ACUITE | IND-RA,2,2025-08-07,A 2,Bank Guarantee,MEDIUM,MEDIUM,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
North Street Cooling Towers Pvt. Ltd.,BRICKWORK | CARE,2,2025-08-07,A 4,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Periwal Polymers Pvt. Ltd.,CARE | CRISIL,2,2025-08-07,B-/A4,Non-government debt,MEDIUM,MEDIUM,Chemicals,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Rayalaseema Steel Re-Rolling Mills Pvt. Ltd. (Part- Ix),CARE | CRISIL,2,2025-08-07,A 4,Letter Of credit,MEDIUM,MEDIUM,Steel & Metals,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Rehber Food Inds. Pvt. Ltd.,CARE | ICRA,2,2025-08-07,D,Term loans,MEDIUM,MEDIUM,Agro/Food,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Salarpuria Properties Pvt. Ltd.,CRISIL | ICRA,2,2025-08-07,A+,Long term Loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bhagyalaxmi Dairy Farms Pvt. Ltd.,ICRA | IND-RA,2,2025-08-08,BB+,Term loans,MEDIUM,MEDIUM,Agro/Food,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Greenpanel Industries Ltd.,CARE | ICRA,2,2025-08-08,A+,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Knowledge Marine & Engg. Works Ltd.,CARE | CRISIL,2,2025-08-08,A 3+,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mahak Synthetics Mills Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-08,BB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
S & T Welcare Equipments Pvt. Ltd.,ACUITE | CRISIL,2,2025-08-08,BB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sivanssh Infrastructure Devp. Pvt. Ltd.,BRICKWORK | CRISIL,2,2025-08-08,A 2,Bank Guarantee,MEDIUM,MEDIUM,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Balaji Fund Growth Pvt. Ltd.,BRICKWORK | CARE,2,2025-08-11,BB-,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Calstar Sponge Ltd.,CRISIL | IND-RA,2,2025-08-11,A 4,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Century 21 Town Planners Pvt. Ltd.,BRICKWORK | CRISIL,2,2025-08-11,A-,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Nair Coal Services Pvt. Ltd.,ACUITE | CARE,2,2025-08-11,A 4,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Armour Steel Buildings India Pvt. Ltd.,CARE | CRISIL,2,2025-08-12,B+/A4,Non-government debt,MEDIUM,MEDIUM,Steel & Metals,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Vena Energy Power Resources Pvt. Ltd.,CARE | IND-RA,2,2025-08-12,A-,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Amara Raja Infra Pvt. Ltd.,CRISIL | ICRA,2,2025-08-13,A 2+,Letter Of credit,MEDIUM,MEDIUM,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aptus Value Housing Finance India Ltd.,CARE | ICRA,2,2025-08-13,AA,Term loans,MEDIUM,MEDIUM,BFSI,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Growel Processors Pvt. Ltd.,BRICKWORK | CARE,2,2025-08-13,A 2,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
C S B Bank Ltd.,CRISIL | IND-RA,2,2025-08-14,A,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
North East Health City Pvt. Ltd.,BRICKWORK | CRISIL,2,2025-08-14,BBB,Long term Loans,MEDIUM,MEDIUM,Healthcare,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Satyam Ispat (North East) Ltd.,BRICKWORK | CRISIL,2,2025-08-14,D,Letter Of credit,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sikkim Urja Ltd.,ACUITE | CARE,2,2025-08-14,BB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bium Industries Pvt. Ltd.,BRICKWORK | ICRA,2,2025-08-18,A 4,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Karnataka Power Corpn. Ltd.,CARE | ICRA,2,2025-08-18,BB+/A4,Non-government debt,MEDIUM,MEDIUM,Infrastructure,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kushal Foods Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-18,B+,Long term Loans,MEDIUM,MEDIUM,Agro/Food,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Motilal Dhoot Infrastructure Pvt. Ltd.,ACUITE | CRISIL,2,2025-08-18,D,Bank Guarantee,MEDIUM,MEDIUM,Infrastructure,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Murti Udyog Ltd.,ACUITE | CARE,2,2025-08-18,A 4,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Parksons Packaging Ltd.,CRISIL | ICRA,2,2025-08-18,A 1+,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sobti Infratech Ltd.,BRICKWORK | CARE,2,2025-08-18,BB+/A4+,Non-government debt,MEDIUM,MEDIUM,Infrastructure,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aditya Auto Products & Engg. (India) Pvt. Ltd.,CRISIL | ICRA,2,2025-08-19,A-,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Prasad Sugar & Allied Agro Products Ltd.,BRICKWORK | CRISIL,2,2025-08-19,B-,Term loans,MEDIUM,MEDIUM,Agro/Food,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Air Control & Chemical Engg. Co. Ltd.,ACUITE | CARE,2,2025-08-20,B-,Term loans,MEDIUM,MEDIUM,Chemicals,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bansal Infraprojects Pvt. Ltd.,CARE | CRISIL,2,2025-08-20,A 4+,Bank Guarantee,MEDIUM,MEDIUM,Infrastructure,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
M J Biopharm Pvt. Ltd.,CARE | IND-RA,2,2025-08-20,BBB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Nabkisan Finance Ltd.,CARE | CRISIL,2,2025-08-20,AAA,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bansal Spinning Mills Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-21,B/A4,Non-government debt,MEDIUM,MEDIUM,Textiles,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bhopal Switch Gears Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-21,B-/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Birmi International Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-21,B/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
G S Developers & Contractors Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-21,B-/A4,Non-government debt,MEDIUM,MEDIUM,Construction,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Geeta Refinery Pvt. Ltd.,BRICKWORK | CRISIL,2,2025-08-21,D,Letter Of credit,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Iris Regtech Solutions Ltd.,ICRA | IND-RA,2,2025-08-21,B-/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
J D N Nutrition Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-21,C,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kasturchand Fertilisers Pvt. Ltd.,ICRA | IND-RA,2,2025-08-21,B-/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mukand Systems & Networking Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-21,B/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Nithyabharath Textile Pvt. Ltd.,ACUITE | BRICKWORK,2,2025-08-21,A 4,Bank Guarantee,MEDIUM,MEDIUM,Textiles,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Northern India Leather Cloth Mfg. Co. Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-21,B-/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Oyster Exim Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-21,B,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Prakasam Heavy Engg. Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-21,D,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sanatan Logistics Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-21,B/A4,Non-government debt,MEDIUM,MEDIUM,Logistics,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sarvejana Healthcare Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-21,B/A4,Non-government debt,MEDIUM,MEDIUM,Healthcare,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shree Ashtvinayak Roller Flour Mills Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-21,D,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shri Ashutosh Structures Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-21,A 4,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shri Janki Foodgrains Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-21,B-/A4,Non-government debt,MEDIUM,MEDIUM,Agro/Food,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shri Khatu Shyam Alloys Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-21,B-/A4,Non-government debt,MEDIUM,MEDIUM,Steel & Metals,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sunny Star Hotels Pvt. Ltd.,CRISIL | IND-RA,2,2025-08-21,B+,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Themis Medicare Ltd.,ACUITE | CARE,2,2025-08-21,BBB,Long term Loans,MEDIUM,MEDIUM,Healthcare,N,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tiwana Nutrition Global Pvt. Ltd.,BRICKWORK | IND-RA,2,2025-08-21,B-,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Umadutt Industries Ltd.,BRICKWORK | IND-RA,2,2025-08-21,D,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Biosynergy Lifecare Pvt. Ltd.,BRICKWORK | CARE,2,2025-08-22,B-,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 2 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
