Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Bhanix Finance and Investment Limited,Infomerics,Non Convertible Debentures (NCDs) (INE08X507053),Withdrawn,2023-07-19,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Indiabulls Rural Finance Private Limited,Infomerics,Non - Convertible Debentures (NCDs) (INE06DK07016),Withdrawn,2023-07-19,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Mangal Credit & Fincorp Limited (MCFL),Infomerics,Proposed Long term fund based bank facilities,Withdrawn,2023-07-14,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Humana Financial Services Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ ( Reaffirmed and  withdrawn),2023-02-06,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Vector Finance Private Limited,Infomerics,Long Term Bank Facilities,Withdrawn,2023-01-25,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Indian School Finance Company Private Limited,Infomerics,Proposed Non Convertible Debentures,Withdrawn,2023-01-23,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Habitat Micro Build India Housing Finance Company Private Limited,Infomerics,Proposed Long Term Fund Based Bank Facility - Term Loan,IVR BB+ (Reaffirmed & Withdrawn),2022-09-01,HIGH,BFSI,Active,Negative,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Sai Point Finance Corporation Limited,Infomerics,Long Term Fund Based Limits - Cash Credit,IVR BB (INC)(Withdrawn),2021-11-25,HIGH,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Unimoni Financial Services Limited,Infomerics,Short Term Non Fund Facility Treasury Limit,,2021-04-30,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Easy Home Finance Limited (EHFL),Infomerics,Proposed Bank Facilities,IVR BBB- (Withdrawn),2020-08-07,HIGH,BFSI,Active,Credit Watch with Developing Implications,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
"Radiant Life Care Private Limited (formerly, Halcyon Finance & Capital Advisors Pvt. Ltd.)",Infomerics,Long Term Loans,IVR A- (Withdrawn),2020-05-12,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Indiabulls Liquid Fund and Indiabulls Short Term Fund (Indiabulls Asset Management Company Limited),Infomerics,Indiabulls Liquid Fund,IVR AAAmfs (Withdrawn),2019-01-10,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Nidhi Textiles,Infomerics,Long Term Fund Based Limits,IVR BB- (Reaffirmed and Withdrawn),2018-12-11,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Kotak Mahindra Mutual Fund,Infomerics,Kotak FMP Series 236 (Mutual Fund),IVR A1+mfs (Withdrawn,2018-08-06,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Indiabulls Mutual Fund,Infomerics,Indiabulls Short Term Fund,IVR AA+mfs (Downgraded from IVR AAAmfs),2018-06-22,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
