Blitz Rank,Company Name,Sector,Instrument,Current Rater,Rating,Rating Date,Urgency,INC Flag,Priority Score,Why Target,ACER Pitch Angle,Tier
201,Aara Jungle Resortes Private Limited,Hotels/Tourism,Long Term Facility - Fund Based - Term Loan,Infomerics,IVR BB (INC) (Downgraded),2025-03-24,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
202,Adwalpalkar Construction and Resort Private Limited,Hotels/Tourism,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-04-15,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
203,Aria Hotels and Consultancy Services Private Limited,Hotels/Tourism,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-03-28,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
204,Eros Grand Resorts & Hotels Pvt. Ltd.,Hotels/Tourism,Bank Guarantee,CARE,A 4,2025-06-10,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
205,Hotel Tara Palace,Hotels/Tourism,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-03-31,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
206,Ireo Hospitality Co. Pvt. Ltd.,Hotels/Tourism,Non-fund-based financial facility/instrument,ICRA,D,2025-05-14,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
207,JAM Hotels and Resorts Private Limited,Hotels/Tourism,Long term Bank Facilities - Proposed,Infomerics,IVR BB (INC)(Reaffirmed & Withdrawn),2021-10-28,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
208,Adhikar Microfinance Private Limited,BFSI-NBFC,Long Term Bank Facilities- Term Loan,Infomerics,IVR D (INC)(Reaffirmed),2025-04-01,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders",ULTRA HOT
209,Ashv Finance Ltd.,BFSI-NBFC,Long term Loans,ACUITE,B,2025-06-10,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
210,Capital Power Infrastructure Pvt. Ltd.,BFSI-NBFC,Bank Guarantee,BRICKWORK,A 4,2025-06-02,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
211,Finvent Finance & Invts. Ltd.,BFSI-NBFC,Long term Loans,CRISIL,B-,2025-06-10,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
212,ICL Fincorp Limited,BFSI-NBFC,Non-Convertible Debentures,Infomerics,IVR BB (INC) (Reaffirmed),2025-03-21,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
213,IFL Housing Finance Limited,BFSI-NBFC,Long-Term Bank Facilities,Infomerics,IVR BB (INC) (Downgraded),2024-12-09,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),[INC] NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE. Rating lapse risks your borrowing capacity,ULTRA HOT
214,J M J Finance Ltd.,BFSI-NBFC,Long term Loans,CRISIL,B+,2025-05-19,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
215,Margdarshak Financial Services Ltd.,BFSI-NBFC,Term loans,BRICKWORK,D,2025-05-27,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
216,Navachetana Microfinance Services Private Limited,BFSI-NBFC,Long Term Bank Facilities - Term Loans,Infomerics,IVR D (INC)(Downgraded),2025-06-04,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders",ULTRA HOT
217,RBA Finance Private Limited,BFSI-NBFC,Long Term Fund Based Facilities - Cash Credit,Infomerics,"IVR BB+ (Upgraded, removed from INC category and simultaneously Withdrawn)",2024-03-07,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
218,Sai Point Finance Corporation Limited,BFSI-NBFC,Long Term Fund Based Limits - Cash Credit,Infomerics,IVR BB (INC)(Withdrawn),2021-11-25,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
219,Subhlakshmi Finance Private Limited,BFSI-NBFC,Long Term Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-05-21,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
220,Swift Financial Results Limited,BFSI-NBFC,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-03-26,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
221,Continental Corrugators Pvt. Ltd.,Paper/Packaging,Term loans,CARE,B,2025-06-09,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
222,Devrishi Papers Pvt. Ltd.,Paper/Packaging,Term loans,BRICKWORK,C,2025-05-06,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
223,Sangal Papers Ltd.,Paper/Packaging,Bank Guarantee,BRICKWORK,A 4,2025-06-10,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
224,Shree Nageshwar Papers Ltd.,Paper/Packaging,Term loans,BRICKWORK,C,2025-06-11,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
225,Suyash Kraft & Papers Pvt. Ltd.,Paper/Packaging,Bank Guarantee,BRICKWORK,A 4,2025-06-10,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
226,Arete Institute of Medical Sciences Private Limited,Education,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-04-04,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),[OVERDUE] [INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact,ULTRA HOT
227,JMJ Charitable Education Society,Education,Long Term Facility - Fund Based - Proposed Term Loan,Infomerics,IVR B+ (INC)(Downgraded),2025-02-24,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),[OVERDUE] [INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact,ULTRA HOT
228,Rajasthani Sammelan Education Trust,Education,Long Term Fund Based Bank Facility - Term Loan,Infomerics,IVR B (INC)(Downgraded),2025-05-26,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),[OVERDUE] [INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact,ULTRA HOT
229,A Auto Movers Pvt. Ltd.,Manufacturing,Fund based financial facility/instrument,CRISIL,B,22-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
230,A S Wire Inds. (V S P) Pvt. Ltd.,Manufacturing,Term loans,BRICKWORK,C,29-05-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
231,Alstone Industries Pvt. Ltd.,Manufacturing,Term loans,CRISIL,B,22-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
232,Anusaya Poly Products Industries,Manufacturing,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),"April 1, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
233,Aradhya Wire & Ropes Pvt. Ltd.,Manufacturing,Letter Of credit,BRICKWORK,D,13-06-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
234,Ashoka Pulp & Paper Pvt. Ltd.,Manufacturing,Term loans,CRISIL,D,14-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
235,Asiatic Electrical & Switchgear Pvt. Ltd.,Manufacturing,Non-fund based working capital limit,IND-RA,D,16-05-2025,HIGH,YES,3,D365 INC company — not cooperating with IND-RA; high urgency for renewal,INC with IND-RA — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
236,Associated Industrial Furnaces Pvt. Ltd.,Manufacturing,Term loans,CARE,B-,14-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
237,Astec Valves & Fittings Pvt. Ltd.,Manufacturing,Letter Of credit,BRICKWORK,A 4,23-05-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
238,B D Industries (India) Pvt. Ltd.,Manufacturing,Term loans,ACUITE,B,12-05-2025,HIGH,YES,3,D365 INC company — not cooperating with ACUITE; high urgency for renewal,INC with ACUITE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
239,B D Industries (Pune) Ltd.,Manufacturing,Letter Of credit,ACUITE,A 4,12-05-2025,HIGH,YES,3,D365 INC company — not cooperating with ACUITE; high urgency for renewal,INC with ACUITE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
240,Balaji Industrial and Agricultural Castings Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),"April 11, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
241,Benara Bearings & Pistons Ltd.,Manufacturing,Term loans,CARE,D,29-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
242,Best Koki Automotive Pvt. Ltd.,Manufacturing,Long term Loans,ACUITE,BB+,06-05-2025,HIGH,YES,3,D365 INC company — not cooperating with ACUITE; high urgency for renewal,INC with ACUITE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
243,Bhadora Industries Ltd.,Manufacturing,Long term Loans,CRISIL,B+,29-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
244,Bharti Industries,Manufacturing,Long Term Fund-based Bank Facilities - Term Loan,Infomerics,IVR BB- (INC)(Reaffirmed),"May 23, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
245,Blizzard Ceramica LLP,Manufacturing,Long Term Facilities,Infomerics,IVR D (INC)(Reaffirmed),"March 31, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
246,Ceedee Metalloys Pvt. Ltd.,Manufacturing,Letter Of credit,CRISIL,A 4+,14-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
247,Chadha Papers Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"March 3, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
248,D.K. Tissues & Papers Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR D (INC) (Reaffirmed),"February 18, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
249,Debson Pumps Pvt. Ltd.,Manufacturing,Bank Guarantee,CRISIL,A 4,10-06-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
250,Deccan Ferro Alloys Private Limited,Manufacturing,Long Term Fund Based Facility,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),"January 8, 2022",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
251,Dhumal Industries India Pvt. Ltd.,Manufacturing,Term loans,ACUITE,BB-,12-05-2025,HIGH,YES,3,D365 INC company — not cooperating with ACUITE; high urgency for renewal,INC with ACUITE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
252,Digiana Industries Pvt. Ltd.,Manufacturing,Term loans,BRICKWORK,B-,10-06-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
253,East India Drums & Barrels Manufacturing Company (EIDBMC),Manufacturing,Long Term Fund Based Facility - Term Loan,Infomerics,IVR BB (INC)(Reaffirmed & Withdrawn),"June 14, 2023",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
254,Fex Foundry Alloys Pvt. Ltd.,Manufacturing,Long term Loans,CRISIL,BB+,09-06-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
255,Finolite Ceramic,Manufacturing,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),"May 19, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
256,G I Industries Pvt. Ltd.,Manufacturing,Letter Of credit,BRICKWORK,D,23-05-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
257,Gainwell Engineering Pvt. Ltd.,Manufacturing,Term loans,CARE,BB+,02-06-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
258,Genus Paper & Coke Ltd.,Manufacturing,Term loans,CARE,BB,23-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
259,Golkonda Engineering Enterprises Ltd.,Manufacturing,Bank Guarantee,BRICKWORK,A 4,12-05-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
260,Gulzar Motors Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"May 16, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
261,HQ Lamps Manufacturing Company Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),"June 10, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
262,Hariwansh Packaging Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Reaffirmed & Withdrawn),"August 7, 2023",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
263,Hira Automobiles Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"March 17, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
264,Hitaishi K K Mfg. Co. Pvt. Ltd.,Manufacturing,Letter Of credit,ACUITE,D,23-05-2025,HIGH,YES,3,D365 INC company — not cooperating with ACUITE; high urgency for renewal,INC with ACUITE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
265,Indian Metals & Alloys Mfg. Co. Pvt. Ltd.,Manufacturing,Bank Guarantee,CRISIL,A 4,19-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
266,Industrial Progressive (India) Ltd.,Manufacturing,Term loans,CARE,D,30-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
267,International Switchgears Pvt. Ltd.,Manufacturing,Bank Guarantee,CRISIL,A 4,19-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
268,Jalna Siddhivinayak Alloys Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"April 7, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
269,Jayatma Industries Ltd.,Manufacturing,Non-government debt,CARE,C/A4,03-06-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
270,Jindal Nickel & Alloys Ltd.,Manufacturing,Letter Of credit,BRICKWORK,A 4,21-05-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
271,Jyoti C N C Automation Ltd.,Manufacturing,Fund based financial facility/instrument,BRICKWORK,BB+,20-05-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
272,Kataria Automobiles Private Limited (KAPL),Manufacturing,Long Term Fund based facilities - Cash Credit,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),"February 10, 2023",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
273,Krishna Defence and Allied Industries Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),"February 29, 2024",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
274,Lakra Industries Ltd.,Manufacturing,Term loans,BRICKWORK,D,08-05-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
275,Leel Electricals Ltd.,Manufacturing,Non-government debt,CARE,D,02-06-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
276,Lords Mark Industries Ltd. [Merged],Manufacturing,Fund based financial facility/instrument,CARE,BB,08-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
277,M. M. Industries,Manufacturing,Long Term Facilities,Infomerics,IVR C+ (INC)(Downgraded),"January 27, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
278,MSR Iron and Steel Industries India Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"January 27, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
279,Macbrout Engineering Pvt. Ltd.,Manufacturing,Bank Guarantee,CRISIL,A 4,15-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
280,Manaksia Coated Metals & Industries Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),"April 18, 2023",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
281,Mandovi Casting Pvt. Ltd.,Manufacturing,Letter Of credit,CRISIL,A 4,12-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
282,Metstar Industries Pvt. Ltd.,Manufacturing,Term loans,BRICKWORK,C,28-05-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
283,Moharir Motors & Services Pvt. Ltd.,Manufacturing,Fund based financial facility/instrument,BRICKWORK,C-,21-05-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
284,Mynah Industries Ltd.,Manufacturing,Letter Of credit,BRICKWORK,D,05-06-2025,HIGH,YES,3,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
285,NRC Industries Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"May 5, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
286,NS Engineering Company Private Limited,Manufacturing,Long Term Bank Facility,Infomerics,IVR B+ (INC)(Downgraded),"January 6, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
287,Namo Alloys Private Limited,Manufacturing,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"March 18, 2025",HIGH,YES,3,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans.",ULTRA HOT
288,Nava Nirman Fabrication Pvt. Ltd.,Manufacturing,Bank Guarantee,CRISIL,D,13-06-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
289,Nepzpack Industries Pvt. Ltd.,Manufacturing,Term loans,CRISIL,B,13-06-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
290,Nexo Industries Pvt. Ltd.,Manufacturing,Term loans,CARE,BB-,06-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
291,Northern Electric Cables Pvt. Ltd.,Manufacturing,Fund based financial facility/instrument,CARE,B-,06-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
292,O S T Electronics Pvt. Ltd.,Manufacturing,Bank Guarantee,CRISIL,A 4,30-05-2025,HIGH,YES,3,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities,ULTRA HOT
