Company Name,Latest Instrument,Latest Rater,Latest Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
Utssav C Z Gold Jewels Ltd.,Non-government debt,CARE,BBB/A3+,2025-09-23,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt | Term loans,Initial Rating,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Dia Precious Jewellery Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),2025-09-16,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Greenwave Diamond Private Limited,Long Term Facilities,Infomerics,IVR BB- (Assigned),2025-10-22,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Jais Jewellery Private Limited,Long Term Bank Facility,Infomerics,IVR BBB- (Reaffirmed),2025-11-11,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facility | Short Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
K. B. Gems (KBG),Long Term Bank Facilities,Infomerics,Withdrawn,2025-12-08,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities | Proposed Long Term /Short Term Facility | Short Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Kavitha Gold and Diamonds,Long Term Bank Facilities,Infomerics,Withdrawn,2025-07-14,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Ketan Brothers Diamondz Exports,Long Term Bank Facilities/Short Term Bank Facilities,Infomerics,IVR BB+/IVR A4+; (Assigned),2025-12-04,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities/Short Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Lalchnd Jewellers Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Reaffirmed),2025-09-24,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Laxmi Jewellery Export Private Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR BBB-/IVR A3; (Upgraded and Withdrawn),2025-07-16,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term/ Short Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Nuvo Aeon Diamond and Jewellery Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (Downgraded),2025-09-17,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Short Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Prince Gold and Diamonds India Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Upgraded),2025-09-23,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Saj Jewellery Private Limited,Long Term Bank Facility,Infomerics,IVR BB+ (Reaffirmed),2025-11-11,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facility | Short Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Shyama Jewels Gonikoppal LLP,Long Term Facilities,Infomerics,IVR BBB- (Assigned),2025-07-16,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Shyama Jewels Madikeri LLP,Long Term Facilities,Infomerics,IVR BBB- (Assigned),2025-07-16,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Shyama Jewels Puttur LLP,Long Term Facilities,Infomerics,IVR BBB- (Upgraded),2025-07-16,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Shyama Jewels Sourcing LLP,Long Term Facilities,Infomerics,IVR BBB- (Assigned),2025-07-16,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Unique Chains and Jewels Limited [Formerly known as Unique Chains Private Limited],Long Term Bank Facilities - Cash Credit,Infomerics,IVR BBB+ (Upgraded),2025-12-09,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities - Cash Credit,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Utssav CZ Gold Jewels Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Upgraded & Withdrawn),2025-12-02,MEDIUM,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities | Short Term Bank Facilities,,Infomerics,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Arundhati Jewellers Pvt. Ltd.,Non-government debt,IND-RA,BBB+/A2,2026-04-06,LOW,Jewellery/Gems,YES,ACUITE | IND-RA,2,Long term Loans | Non-government debt,Initial Rating,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Black Diamond Explosives Pvt. Ltd.,Bank Guarantee,CRISIL,A 3+,2025-12-15,LOW,Jewellery/Gems,YES,CARE | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
C Gems & Jewels Pvt. Ltd.,Term loans,BRICKWORK,D,2026-04-09,LOW,Jewellery/Gems,YES,BRICKWORK | IND-RA,2,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Diamond T M T & Procon Pvt. Ltd.,Bank Guarantee,CARE,A 4+,2026-02-20,LOW,Jewellery/Gems,YES,CARE | CRISIL,2,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Giriraj Jewellers Pvt. Ltd.,Fund based financial facility/instrument,ICRA,D,2026-01-29,LOW,Jewellery/Gems,YES,CARE | ICRA,2,Bank Guarantee | Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Jaipur Jewels Global Ltd.,Bank Guarantee,ACUITE,A 4,2026-04-01,LOW,Jewellery/Gems,YES,ACUITE | BRICKWORK,2,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
K T M Jewellery Ltd.,Non-fund-based financial facility/instrument,CRISIL,A 2,2026-03-31,LOW,Jewellery/Gems,YES,CARE | CRISIL,2,Long term Loans | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Initial Rating,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Kalamandir Jewellers Ltd.,Non-government debt,CARE,BBB+/A2,2026-01-12,LOW,Jewellery/Gems,YES,CARE | CRISIL | IND-RA,3,Fund based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Manappuram Jewellers Ltd.,Term loans,IND-RA,BBB,2026-02-27,LOW,Jewellery/Gems,YES,CARE | IND-RA,2,Fund based financial facility/instrument | Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Mehta Brothers Gems Pvt. Ltd.,Long term Loans,ICRA,B+,2025-12-22,LOW,Jewellery/Gems,YES,CRISIL | ICRA,2,Fund based financial facility/instrument | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Nac Jewellers Pvt. Ltd.,Long term Loans,CRISIL,B,2026-04-23,LOW,Jewellery/Gems,YES,CARE | CRISIL,2,Long term Loans | Non-government debt | Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Osia Gems Pvt. Ltd.,Fund based financial facility/instrument,BRICKWORK,B+,2025-12-23,LOW,Jewellery/Gems,YES,BRICKWORK | CRISIL,2,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Samrat Gems Impex Pvt. Ltd.,Non-government debt,IND-RA,D,2025-12-19,LOW,Jewellery/Gems,YES,IND-RA | Infomerics,2,Non-government debt,Reaffirmed,Both,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Suvarna Shilpi Jewellers Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2026-03-23,LOW,Jewellery/Gems,YES,BRICKWORK | Infomerics,2,Non-government debt,Reaffirmed,Both,4,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC with current rater — ACER offers fresh start, analyst accessibility"
Amar Jewellers Pvt. Ltd.,Long term Loans,CRISIL,B,2026-04-21,LOW,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Babulal Becharbhai Zaveri Golds & Diamonds Pvt. Ltd.,Term loans,CRISIL,BB-,2025-12-16,LOW,Jewellery/Gems,YES,CRISIL,1,Term loans,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Bhagya Laxmi Gems & Jewellers Pvt. Ltd.,Bank Guarantee,ACUITE,D,2026-04-23,LOW,Jewellery/Gems,YES,ACUITE,1,Bank Guarantee,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Creations Jewellery Mfg. Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-27,LOW,Jewellery/Gems,YES,ICRA,1,Non-government debt,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Deepak Diamonds Pvt. Ltd.,Long term Loans,CRISIL,D,2026-02-23,LOW,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Diamond Solvex Pvt. Ltd.,Term loans,CARE,D,2026-02-17,LOW,Jewellery/Gems,YES,CARE,1,Term loans,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Dwarka Gems Ltd.,Non-government debt,CARE,B-/A4,2026-02-26,LOW,Jewellery/Gems,YES,CARE,1,Non-government debt,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Goodwin Jewellers Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,Jewellery/Gems,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Kamadhenu Jewellery Pvt. Ltd.,Long term Loans,CRISIL,B+,2025-12-22,LOW,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Kiara Jewellery Pvt. Ltd.,Non-government debt,ICRA,B/A4,2026-04-22,LOW,Jewellery/Gems,YES,ICRA,1,Non-government debt,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Laxmi Dia Jewel Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2026-02-26,LOW,Jewellery/Gems,YES,CRISIL,1,Bank Guarantee,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Lypsa Gems & Jewellery Ltd.,Non-government debt,ICRA,D,2026-03-10,LOW,Jewellery/Gems,YES,ICRA,1,Non-government debt,Withdrawn,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Mini Diamonds (India) Ltd.,Long term Loans,CRISIL,D,2026-04-23,LOW,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Notandas Gems Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,Jewellery/Gems,YES,IND-RA,1,Non-government debt,Downgraded,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Ozone Diamonds Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,Jewellery/Gems,YES,IND-RA,1,Non-government debt,Downgraded,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Rajathadri Jewellers Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,Jewellery/Gems,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Rohit'S Heritage Jewellers Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,Jewellery/Gems,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Samkit Diamond Export Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-12-17,LOW,Jewellery/Gems,YES,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Shish Jewels Ltd.,Non-fund-based financial facility/instrument,CRISIL,A 4,2026-03-17,LOW,Jewellery/Gems,YES,CRISIL,1,Non-fund-based financial facility/instrument,Downgraded,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Shreela Diamonds & Jewels Pvt. Ltd.,Short-term loan,CRISIL,A 4,2026-04-28,LOW,Jewellery/Gems,YES,CRISIL,1,Short-term loan,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Shukra Jewellery Ltd.,Term loans,CRISIL,D,2026-01-31,LOW,Jewellery/Gems,YES,CRISIL,1,Term loans,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Suwarnsparsh Gems & Jewellery Ltd.,Term loans,ACUITE,D,2026-02-10,LOW,Jewellery/Gems,YES,ACUITE,1,Term loans,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Tara Jewels Ltd.,Fund based financial facility/instrument,BRICKWORK,D,2026-02-17,LOW,Jewellery/Gems,YES,BRICKWORK,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Yash Jewellery Pvt. Ltd.,Term loans,CRISIL,D,2026-02-28,LOW,Jewellery/Gems,YES,CRISIL,1,Term loans,Reaffirmed,D365,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Samarth Diamond,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2026-01-23,LOW,Jewellery/Gems,YES,Infomerics,1,Short Term Bank Facilities,,Infomerics,3,INC — issuer not cooperating with current rater,"INC with current rater — ACER offers fresh start, analyst accessibility"
Kalyan Jewellers India Ltd.,Non-government debt,ICRA,AA-/A1+,2026-04-10,LOW,Jewellery/Gems,NO,ICRA | IND-RA,2,Non-fund based working capital limit | Non-government debt,Reaffirmed,D365,2,Multi-agency (2 raters) — open to new entrant,"Multi-agency experience — pitch ACER as faster, cheaper alternative"
Narbada Gems & Jewellery Ltd. [Merged],Non-government debt,ICRA,BBB-/A3,2026-03-20,LOW,Jewellery/Gems,NO,CRISIL | ICRA,2,Non-government debt | Term loans,Withdrawn,D365,2,Multi-agency (2 raters) — open to new entrant,"Multi-agency experience — pitch ACER as faster, cheaper alternative"
P N Gadgil Jewellers Ltd.,Non-government debt,IND-RA,A+/A1,2026-03-06,LOW,Jewellery/Gems,NO,CRISIL | IND-RA,2,Non-government debt | Short-term loan,Initial Rating,D365,2,Multi-agency (2 raters) — open to new entrant,"Multi-agency experience — pitch ACER as faster, cheaper alternative"
R B Z Jewellers Ltd.,Bank Guarantee,CRISIL,A 2,2026-03-09,LOW,Jewellery/Gems,NO,CARE | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,D365,2,Multi-agency (2 raters) — open to new entrant,"Multi-agency experience — pitch ACER as faster, cheaper alternative"
A B Jewels Pvt. Ltd.,Non-government debt,ICRA,BBB-/A3,2026-02-11,LOW,Jewellery/Gems,NO,ICRA,1,Non-government debt,Initial Rating,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Ankit Gems Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB+,2026-02-23,LOW,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Antara Jewellery Pvt. Ltd.,Non-government debt,ICRA,BBB+/A2,2026-03-12,LOW,Jewellery/Gems,NO,ICRA,1,Non-government debt,Initial Rating,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Chain-N-Chains Jewels Ltd.,Non-government debt,IND-RA,BBB/A3+,2026-04-02,LOW,Jewellery/Gems,NO,IND-RA,1,Non-government debt,Initial Rating,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Dharmesh Jewellers Pvt. Ltd.,Non-government debt,CARE,BBB-/A3,2026-02-05,LOW,Jewellery/Gems,NO,CARE,1,Non-government debt,Initial Rating,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Evermine Diamond Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-01-13,LOW,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Fine Jewellery Mfg. Ltd.,Non-government debt,CARE,BBB/A3+,2026-03-24,LOW,Jewellery/Gems,NO,CARE,1,Non-government debt | Term loans,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
H K Jewels Pvt. Ltd.,Term loans,ACUITE,A,2026-04-02,LOW,Jewellery/Gems,NO,ACUITE,1,Long term Loans | Term loans,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Indian Gem & Jewellery Creation Pvt. Ltd.,Term loans,CARE,BBB-,2026-04-02,LOW,Jewellery/Gems,NO,CARE,1,Term loans,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Josco Bullion Traders Pvt. Ltd.,Fund based financial facility/instrument,CARE,A-,2026-02-12,LOW,Jewellery/Gems,NO,CARE,1,Fund based financial facility/instrument | Term loans,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Khazana Jewellery Pvt. Ltd.,Non-government debt,CARE,A+/A1+,2026-04-06,LOW,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Kiran Gems Pvt. Ltd.,Fund based financial facility/instrument,CARE,A,2026-01-09,LOW,Jewellery/Gems,NO,CARE,1,Fund based financial facility/instrument,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Lalithaa Jewellery Mart Ltd.,Non-government debt,ICRA,A/A1,2026-02-19,LOW,Jewellery/Gems,NO,ICRA,1,Non-government debt | Term loans,Initial Rating,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Laxmi Diamond Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 3,2026-02-12,LOW,Jewellery/Gems,NO,IND-RA,1,Non-fund based working capital limit | Term loans,Rating Watch,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Malabar Gems & Jewellery Mfg. Pvt. Ltd.,Non-government debt,IND-RA,A/A1,2025-12-22,LOW,Jewellery/Gems,NO,IND-RA,1,Non-government debt,Initial Rating,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Manubhai Gems Pvt. Ltd.,Non-government debt,CARE,A-/A2+,2026-03-11,LOW,Jewellery/Gems,NO,CARE,1,Non-government debt | Term loans,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
N D Sarraf Jewels Wholesale Pvt. Ltd.,Non-government debt,CARE,BBB-/A3,2026-02-10,LOW,Jewellery/Gems,NO,CARE,1,Non-government debt | Term loans,Upgraded,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Navrathan Jewellers Pvt. Ltd.,Term loans,CRISIL,A-,2026-02-06,LOW,Jewellery/Gems,NO,CRISIL,1,Term loans,Initial Rating,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
P C Chandra (Gems) Pvt. Ltd.,Non-government debt,ICRA,AA-/A1+,2026-04-02,LOW,Jewellery/Gems,NO,ICRA,1,Non-government debt,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
P C Chandra (Jewellers) Pvt. Ltd.,Non-government debt,ICRA,AA-/A1+,2026-04-02,LOW,Jewellery/Gems,NO,ICRA,1,Fund based financial facility/instrument | Non-government debt | Short-term loan,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
P C Chandra Jewellery Apex Pvt. Ltd.,Non-government debt,ICRA,AA-/A1+,2026-04-02,LOW,Jewellery/Gems,NO,ICRA,1,Fund based financial facility/instrument | Non-government debt,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
S E I Diamond Pvt. Ltd.,Term loans,CARE,A,2026-02-27,LOW,Jewellery/Gems,NO,CARE,1,Term loans,Initial Rating,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Shineshilpi Jewellers Pvt. Ltd.,Non-fund-based financial facility/instrument,CRISIL,A 2,2026-04-10,LOW,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Sky Gold & Diamonds Ltd.,Non-government debt,IND-RA,A/A1,2026-02-16,LOW,Jewellery/Gems,NO,IND-RA,1,Non-government debt,Initial Rating,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Susheel Jewellery Mart Pvt. Ltd.,Non-government debt,CARE,BBB/A3,2025-12-31,LOW,Jewellery/Gems,NO,CARE,1,Non-government debt | Term loans,Upgraded,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Trio Jewels Pvt. Ltd.,Non-fund-based financial facility/instrument,CRISIL,A 4+,2025-12-15,LOW,Jewellery/Gems,NO,CRISIL,1,Non-fund-based financial facility/instrument,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Uday Jewellery Inds. Ltd.,Term loans,ICRA,BBB,2026-02-03,LOW,Jewellery/Gems,NO,ICRA,1,Term loans,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Upasana Jewellers Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB-,2026-03-05,LOW,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Yaashvi Jewellers Ltd.,Non-government debt,CARE,BB/A4,2026-03-31,LOW,Jewellery/Gems,NO,CARE,1,Non-government debt | Term loans,Withdrawn,D365,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Karan Kothari Jewellers Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Assigned),2026-01-21,LOW,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
Sumeet Gems and Jewellers Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Reaffirmed),2026-02-04,LOW,Jewellery/Gems,NO,Infomerics,1,Long Term Bank Facilities,,Infomerics,1,Active rated company — relationship building,Single-agency dependent — pitch ACER for diversification and negotiating leverage
