Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Wires and Fabriks (S.A) Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"May 16, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Wires and Fabriks (S.A) Limited,Short Term Bank Facilities,Infomerics,IVR A3+ (Reaffirmed),"May 16, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
MITCON Consultancy and Engineering Services Limited,Long term Bank Facilities - CC/BG,Infomerics,IVR BB+ (Re-affirmed & Withdrawn),"May 1, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sharvari Electricals,Long Term Fund Based Facility - Cash Credit,Infomerics,Withdrawn,"July 22, 2022",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sharvari Electricals,Short Term Non Fund based Facility - Bank Guarantee and Letter of Credit,Infomerics,Withdrawn,"July 22, 2022",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
GLS Aluminium Industries Private Limited (Erstwhile GLS Foils Product Private Limited),Long Term Bank Facilities,Infomerics,IVR BBB- (Upgraded),"April 28, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
GLS Aluminium Industries Private Limited (Erstwhile GLS Foils Product Private Limited),Short Term Bank Facilities,Infomerics,IVR A3 (Upgraded),"April 28, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shree Automotive Private Limited,Long Term Bank Facilities (including proposed facility of Rs. 12.77 crore),Infomerics,IVR BB (INC)(Downgraded),"December 13, 2024",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
MSR Iron and Steel Industries India Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"January 27, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Raja Industries,Long Term Facilities,Infomerics,IVR BBB (Reaffirmed),"December 23, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shivalik Auto Engineering Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Reaffirmed & Withdrawn),"October 19, 2023",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Ananya Engineering Private Limited,Long Term Facilities,Infomerics,IVR BB-,"January 21, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Ananya Engineering Private Limited,Short Term Facilities,Infomerics,IVR A4 (Reaffirmed),"January 21, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shre Devaraja Agro Aseptic Industries (SDAAI),Long term Bank Facilities,Infomerics,IVR BB+ (Reaffirmed),"March 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shre Devaraja Agro Aseptic Industries (SDAAI),Long term Bank Facilities - Proposed,Infomerics,IVR A4+ (Assigned),"March 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shre Devaraja Agro Aseptic Industries (SDAAI),Long term Bank Facilities - Proposed,Infomerics,IVR BB+ (Assigned),"March 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sri Devaraaja Agro Industries (SDAI),Long term Bank Facilities,Infomerics,IVR BB+ (Reaffirmed),"March 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sri Devaraaja Agro Industries (SDAI),Short term Bank Facilities,Infomerics,IVR A4+ (Reaffirmed),"March 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sri Devaraaja Agro Industries (SDAI),Long term Bank Facilities - Proposed,Infomerics,IVR BB+ (Assigned),"March 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
JTL Industries Limited (Erstwhile JTL Infra Limited),Long Term Bank Facilities,Infomerics,IVR A,"April 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
JTL Industries Limited (Erstwhile JTL Infra Limited),Short Term Bank Facilities,Infomerics,IVR A1,"April 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Siddhi Industries Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Upgraded),"May 23, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
UCN Cable Network Private Limited,Issuer Rating,Infomerics,Withdrawn,"April 23, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Maiden Forgings Limited,Long Term Bank Facilities,Infomerics,IVR BB (Reaffirmed and Withdrawn),"April 29, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Maiden Forgings Limited,Short Term Bank Facilities,Infomerics,Withdrawn,"April 29, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
East India Drums & Barrels Manufacturing Company (EIDBMC),Long Term Fund Based Facility - Term Loan,Infomerics,IVR BB (INC)(Reaffirmed & Withdrawn),"June 14, 2023",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
East India Drums & Barrels Manufacturing Company (EIDBMC),Long Term Fund Based Facility - Cash Credit,Infomerics,IVR BB (INC)(Reaffirmed & Withdrawn),"June 14, 2023",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
East India Drums & Barrels Manufacturing Company (EIDBMC),Short Term Non Fund Based Facility - Bank Guarantee,Infomerics,IVR A4 (INC)(Reaffirmed & Withdrawn),"June 14, 2023",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
FortPoint Automotive ( Cars ) Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"January 2, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Balaji Industrial and Agricultural Castings Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),"April 11, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Balaji Industrial and Agricultural Castings Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"April 11, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Balaji Industrial and Agricultural Castings Private Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR B/ IVR A4 (INC) (Downgraded/Reaffirmed),"April 11, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Gulzar Motors Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"May 16, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Gulzar Motors Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),"May 16, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Raj Process Equipments & Systems Private Limited,Long Term Bank Facilities,Infomerics,,"March 15, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
G. R. Engineering Private Limited (GREPL),Long Term Facilities,Infomerics,IVR BBB+ (Reaffirmed),"January 22, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
G. R. Engineering Private Limited (GREPL),Short Term Facilities,Infomerics,IVR A2 (Reaffirmed),"January 22, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Gaytri Industrial Corporation Private Limited,Long Term Facilities,Infomerics,IVR BBB- (Reaffirmed),"December 4, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Gaytri Industrial Corporation Private Limited,Short Term Facilities,Infomerics,IVR A3 (Reaffirmed),"December 4, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Disha Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Upgraded),"February 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Disha Industries Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"February 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Disha Industries Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Upgraded),"February 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
HQ Lamps Manufacturing Company Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),"June 10, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
HQ Lamps Manufacturing Company Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),"June 10, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
HQ Lamps Manufacturing Company Private Limited,Long term Bank Facilities,Infomerics,IVR BBB (Reaffirmed/Assigned),"June 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
HQ Lamps Manufacturing Company Private Limited,Short Term Bank Facilities,Infomerics,IVR A3+ (Reaffirmed / Assigned),"June 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Ranga Particle Board Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"March 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Ranga Particle Board Industries Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed),"March 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jammu Pigments Limited,Long Term Bank Facilities,Infomerics,IVR A (Upgraded),"January 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jammu Pigments Limited,Short Term Bank Facilities,Infomerics,IVR A1 (Upgraded),"January 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Amartex Industries Limited,Long Term Fund Based Bank Facilities - Cash Credit,Infomerics,Withdrawn,"October 11, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Telmos Electronics,Long Term Bank Facilities,Infomerics,IVR BB (Assigned),"April 4, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Telmos Electronics,Short Term Bank Facilities,Infomerics,IVR A4 (Assigned),"April 4, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sakthi Ferro Alloys (India) Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (Reaffirmed and Withdrawn),"March 17, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sakthi Ferro Alloys (India) Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (Reaffirmed and Withdrawn),"March 17, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Aaquaries Global Industries Limited,Issuer Rating,Infomerics,Withdrawn,"October 21, 2022",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Galaxy Automobiles Private Limited,Long Term Bank Facilities,Infomerics,IVR A- (Upgraded),"April 18, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Wave Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB-,"March 31, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Wave Industries Private Limited,Short Term Bank Facility,Infomerics,IVR A3 (Reaffirmed),"March 31, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Bambino Agro Industries Limited,Long Term Bank Facilities- Term Loan/ Drop Line Overdraft (DOD),Infomerics,IVR BBB- (Upgraded),"March 5, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Bambino Agro Industries Limited,Long Term Bank Facilities- Cash Credit,Infomerics,IVR BBB- (Upgraded),"March 5, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Bambino Agro Industries Limited,Long Term Bank Facilities- Cash Credit,Infomerics,IVR BBB- (Assigned),"March 5, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Bambino Agro Industries Limited,Long Term Bank Facilities- WCDL,Infomerics,IVR BBB- (Assigned),"March 5, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Bambino Agro Industries Limited,Long Term Bank Facilities- GECL,Infomerics,Withdrawn,"March 5, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Hariwansh Packaging Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Reaffirmed & Withdrawn),"August 7, 2023",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
ASM Industries (India) Private Limited,Long Term Fund Based Bank Facilities - Term Loan,Infomerics,IVR B+ (Downgraded),"February 21, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
ASM Industries (India) Private Limited,Long Term Fund Based Bank Facilities - Cash Credit,Infomerics,IVR B+ (Downgraded),"February 21, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
ASM Industries (India) Private Limited,Short Term Non-Fund Based Bank Facilities - Forward Contract,Infomerics,IVR A4 (Reaffirmed),"February 21, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Enershell Alloys & Steel Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB-,"March 31, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Enershell Alloys & Steel Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed),"March 31, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Integral Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"May 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Integral Industries Private Limited,Long Term / Short Term Bank facilities,Infomerics,IVR BBB-/ IVR A3 (Reaffirmed),"May 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
RNV Industries Private Limited,Long Term/Short Term Bank Facilities,Infomerics,IVR BBB-/IVR A3; (Reaffirmed),"May 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Bedmutha Industries Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Upgraded),"February 11, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Bedmutha Industries Limited,Short Term Bank Facilities,Infomerics,IVR A3+ (Upgraded),"February 11, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
N.P. Agro (India) Industries Private Limited (NPAIIPL) (Erstwhile N.P. Agro (India) Industries Limited),Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed and Withdrawn),"November 7, 2023",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
N.P. Agro (India) Industries Private Limited (NPAIIPL) (Erstwhile N.P. Agro (India) Industries Limited),Long Term/Short Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed and Withdrawn),"November 7, 2023",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Black Diamond Motors Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Upgraded)(Withdrawn),"February 11, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Saru Silver Alloys Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Upgraded),"March 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Saru Silver Alloys Private Limited,Short Term Bank Facilities,Infomerics,IVR A2 (Upgraded),"March 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shreyas Sortex Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Reaffirmed and Withdrawn),"September 5, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Aeroflex Industries Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"October 16, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Ramest Ceramic LLP,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"December 30, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Ramest Ceramic LLP,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed),"December 30, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Reliable Autotech Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Reaffirmed),"January 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Reliable Autotech Private Limited,Long term Bank Facilities - Proposed,Infomerics,IVR BBB+ (Assigned),"January 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Reliable Autotech Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"January 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Reliable Autotech Private Limited,Short Term Bank Facilities,Infomerics,IVR A2 (Reaffirmed),"January 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Paswara Papers Limited,Long Term Bank Facilities,Infomerics,IVR BB (Upgraded and Withdrawn),"March 31, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Paswara Papers Limited,Long Term/ Short Term,Infomerics,Withdrawn,"March 31, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Bhagwati Industries,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"February 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Bhagwati Industries,Short Term Bank Facilities,Infomerics,IVR A3+ (Reaffirmed),"February 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Chiripal Industries Limited,Long Term Bank Facilities,Infomerics,IVR A+ (Reaffirmed),"February 19, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Chiripal Industries Limited,Short Term Bank Facilities,Infomerics,IVR A1+ (Reaffirmed),"February 19, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Surya Ferrous Alloys Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"January 21, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Surya Ferrous Alloys Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed),"January 21, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Surya Ferrous Alloys Private Limited,Proposed Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed),"January 21, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Reliable Industries,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"February 14, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Reliable Industries,Short Term Bank Facility,Infomerics,IVR A3+ (Reaffirmed),"February 14, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
D.K. Tissues & Papers Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC) (Reaffirmed),"February 18, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Radiance Alloy & Electricals Private Limited,Long Term Facilities,Infomerics,IVR BB (Assigned),"March 31, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Radiance Alloy & Electricals Private Limited,Proposed Long Term Facilities,Infomerics,IVR BB (Assigned),"March 31, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Roger Industries Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"June 6, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Roger Industries Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),"June 6, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Hira Automobiles Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"March 17, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Allied Engineering Works Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Upgraded) (Withdrawn),"March 25, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Allied Engineering Works Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Upgraded) (Withdrawn),"March 25, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jalna Siddhivinayak Alloys Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"April 7, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jalna Siddhivinayak Alloys Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),"April 7, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Daulat Ram Engineering Services Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (Upgraded),"January 3, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Daulat Ram Engineering Services Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (Upgraded),"January 3, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Pragati Glass & Industries Private Limited,Long Term Fund Based Facilities,Infomerics,IVR BBB (Upgraded),"June 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Pragati Glass & Industries Private Limited,Short Term Non- Fund Based Limits,Infomerics,IVR A3+ (Upgraded),"June 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
