Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,INC,Sector,State,Why Target,ACER Pitch Angle,Source
Veparseva Healthcare Pvt. Ltd.,Term loans,BRICKWORK,C,2026-03-26,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Vishesh Diagnostics Pvt. Ltd.,Term loans,IND-RA,B-,2025-12-19,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Vivin Drugs & Pharmaceuticals Ltd.,Bank Guarantee,CRISIL,D,2026-01-12,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Wadi Surgicals Pvt. Ltd.,Term loans,IND-RA,BB+,2026-02-24,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Yashodhara Super-Speciality Hospital Pvt. Ltd.,Term loans,ICRA,B+,2026-02-16,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Zenrise Clinical Research Pvt. Ltd.,Long term Loans,CRISIL,B,2026-01-31,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
ANG Lifesciences India Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-09-29,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (258d)",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Assam Hospital Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-09-08,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (279d)",ACER can step in as new rater with quick onboarding. Healthcare facilities rely on WC limits; Infomerics INC = frozen credit.,Infomerics
Bhanderi Lab Grown Diamonds LLP,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-09-01,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (286d)",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Cymbio Pharma Private Limited,Long Term Bank Facilities,Infomerics,IVR C (INC)(Downgraded),2025-08-14,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (304d)",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Healthplus Research And Medicentre LLP,Long Term Fund Based Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-09-30,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (257d)",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Navkar Lifesciences,Long Term Bank Facilities,Infomerics,IVR C+ (INC) (Downgraded),2025-12-16,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (180d)",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Pushpagiri Medical Society,Long Term Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-09-11,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (276d)",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Science House Medicals Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-09-03,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (284d)",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Sparsh Hospitals & Critical Care Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-07-03,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (346d)",ACER can step in as new rater with quick onboarding. Healthcare facilities rely on WC limits; Infomerics INC = frozen credit.,Infomerics
Utkal Healthcare Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-09-19,MEDIUM,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Approaching renewal (268d)",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
A S Pharma Pvt. Ltd.,Term loans,CARE,BB-,2025-09-18,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (269d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Aarey Drugs & Pharmaceuticals Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-08-26,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (292d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Abhilash Chemicals & Pharmaceuticals Pvt. Ltd.,Letter Of credit,ACUITE,A 4,2025-09-17,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (270d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Accrete Pharmaceuticals Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-06-23,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (356d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Adroit Pharmaceuticals Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-11-10,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (216d) — warm call; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Ajara Health Care & Research Centre Pvt. Ltd.,Long term Loans,CRISIL,B+,2025-12-05,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (191d) — warm call; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Alchemist Ltd.,Long term Loans,CRISIL,D,2025-11-27,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (199d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Allied Medical Ltd.,Non-government debt,IND-RA,B-/A4,2025-08-21,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (297d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Annaiarul Healthcare Pvt. Ltd.,Short-term loan,ACUITE,A 4,2025-08-25,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (293d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Aplab Ltd.,Bank Guarantee,BRICKWORK,D,2025-11-11,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (215d) — warm call; Multi-agency (3 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Apollo Computing Laboratories Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4,2025-06-25,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (354d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Aristo Bio-Tech & Lifescience Ltd.,Letter Of credit,CRISIL,A 4,2025-07-31,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (318d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Astam Healthcare Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-11-21,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (205d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Bakson Drugs & Pharmaceuticals Pvt. Ltd.,Long term Loans,CRISIL,B,2025-09-10,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (277d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Beloorbayir Biotech Ltd.,Letter Of credit,CRISIL,A 4,2025-07-10,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (339d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Big Healthcare Pvt. Ltd.,Term loans,CARE,B,2025-08-25,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (293d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Bio-Med Health Care Products Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-10-31,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (226d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Biomedicon Care Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-12-11,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (185d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
C K S Medicare Pvt. Ltd.,Term loans,BRICKWORK,C,2025-10-13,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (244d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
C P L Pharmaceuticals Pvt. Ltd.,Term loans,IND-RA,BBB+,2025-12-03,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (193d) — warm call; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Cadiz Pharmaceuticals Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-10-14,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (243d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Celebrity Life Sciences Pvt. Ltd.,Letter Of credit,ACUITE,A 4,2025-07-21,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (328d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Chesa Dental Care Services Ltd.,Bank Guarantee,BRICKWORK,D,2025-07-14,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (335d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Cian Healthcare Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-10-29,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (228d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Concord Drugs Ltd.,Letter Of credit,CRISIL,A 4,2025-11-21,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (205d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Concord Hospitality Pvt. Ltd.,Term loans,IND-RA,D,2025-08-21,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (297d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Confederation For Ayurvedic Renaissance-Keralam Ltd.,Term loans,CRISIL,D,2025-07-17,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (332d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Cyamopsis Biotech (India) Pvt. Ltd.,Non-fund-based financial facility/instrument,CRISIL,A 4,2025-12-08,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (188d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
D F I Hospitals Pvt. Ltd.,Term loans,CRISIL,B+,2025-06-25,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (354d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
D M R Hospitals Pvt. Ltd.,Long term Loans,CRISIL,D,2025-08-28,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (290d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Dakshata Hospitals Pvt. Ltd.,Term loans,CRISIL,B,2025-11-14,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (212d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Delexcel Pharma Pvt. Ltd.,Term loans,IND-RA,D,2025-08-21,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (297d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Disruptive Health Solutions Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-11-06,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (220d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Dr. Kamakshi Memorial Hospital Pvt. Ltd.,Term loans,BRICKWORK,C,2025-10-17,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (240d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Dr. Namjoshi Hospitals Pvt. Ltd.,Term loans,CARE,BB+,2025-09-22,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (265d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Eight Lions Hospital Pvt. Ltd.,Term loans,IND-RA,B-,2025-07-18,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (331d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Emmennar Pharma Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-09-22,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (265d) — warm call; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Evertogen Life Sciences Ltd.,Letter Of credit,ACUITE,A 4,2025-07-17,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (332d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Ganesh Diagnostic & Imaging Centre Pvt. Ltd.,Long term Loans,CRISIL,D,2025-07-18,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (331d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Genesis Institute Of Medical Science Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-10-16,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (241d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Geno Pharmaceuticals Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-08-11,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (307d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Greenland Hospital & Research Centre Pvt. Ltd.,Term loans,BRICKWORK,C,2025-06-27,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (352d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
H L L Biotech Ltd.,Term loans,ICRA,D,2025-08-13,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (305d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Healthico Quality Products Pvt. Ltd.,Term loans,CARE,B-,2025-09-18,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (269d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Hearts Malabar Clinical Solutions Pvt. Ltd.,Term loans,IND-RA,B-,2025-06-25,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (354d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Hufort Healthcare Pvt. Ltd.,Fund based financial facility/instrument,CARE,B,2025-11-21,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (205d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Innovative Medicare Technologies Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-25,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (324d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
International Healthcare Ltd.,Term loans,CARE,B+,2025-06-18,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (361d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Ion Healthcare Pvt. Ltd.,Letter Of credit,CARE,A 4,2025-11-04,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (222d) — warm call; Multi-agency (3 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Iris Health Services Ltd.,Bank Guarantee,CARE,D,2025-11-21,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (205d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
J P N Pharma Pvt. Ltd.,Term loans,ACUITE,B,2025-08-04,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (314d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Jeeban Suraksha Hospital Pvt. Ltd.,Long term Loans,CRISIL,B,2025-12-11,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (185d) — warm call; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
K R S Pharmaceuticals Pvt. Ltd.,Long term Loans,CRISIL,B-,2025-07-14,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (335d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Kafila Hospitality & Travels Pvt. Ltd.,Term loans,IND-RA,B-,2025-11-24,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (202d) — warm call; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Kremoint Pharma Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-10-20,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (237d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Kwality Pharmaceuticals Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-12-05,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (191d) — warm call; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Laborate Pharmaceuticals India Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-11-17,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (209d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Lasa Laboratory Pvt. Ltd. [Merged],Letter Of credit,CRISIL,A 4,2025-12-11,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (185d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Lifespan Biotech Pvt. Ltd.,Term loans,BRICKWORK,D,2025-11-11,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (215d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Lohitha Life Sciences Pvt. Ltd.,Long term Loans,CRISIL,B+,2025-08-29,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (289d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Lyrus Life Sciences Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-09-18,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (269d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
M C O Hospital Aids Pvt. Ltd.,Bank Guarantee,BRICKWORK,D,2025-07-17,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (332d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Maheshwari Pharmaceuticals (India) Ltd.,Term loans,IND-RA,B,2025-06-25,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (354d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Mangalam Drugs & Organics Ltd.,Bank Guarantee,CRISIL,D,2025-11-24,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (202d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Masti Health & Beauty Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-12-05,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (191d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Matrix Therapeutics Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-08-29,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (289d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Medall Healthcare Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-08-22,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (296d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Metro Superspeciality Hospitals Pvt. Ltd.,Term loans,CRISIL,B+,2025-11-20,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (206d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Mittal Hospitals Ltd.,Non-government debt,IND-RA,B-/A4,2025-08-21,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (297d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Multani Pharmaceuticals Ltd.,Bank Guarantee,CRISIL,A 4,2025-12-11,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (185d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Murli Krishna Pharma Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-09-25,MEDIUM,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Approaching renewal (262d) — warm call",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
