Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Quarter,Escalation_Month,Escalation_Date,HOT_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Call_Window,Also_In_Other_Quarter
Dodhia Chem-Tex Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Withdrawn),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,3.0,Chemicals/Pharma,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Dodhia Chem-Tex Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Withdrawn),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,3.0,Chemicals/Pharma,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
A A Energy Pvt. Ltd.,ACUITE,Term Loan,C,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.68,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Vasupujya Filaments,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Withdrawn),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.6,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Vasupujya Filaments,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Withdrawn),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.6,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Yash Exports (India) Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.42,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Maa Bhagawati Re-Rolling Mills Pvt. Ltd.,CARE,Term Loan,B-,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.28,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
C A I Inds. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.05,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Perfect Mettcast Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Rhino Lux Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Rhino Lux Pvt. Ltd.,CARE,Short-Term Loan,B-,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Short-Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
S S Medical Systems ( India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,2.0,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Osia Gems Pvt. Ltd.,BRICKWORK,Fund-Based,B+,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,1.48,Jewellery,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Sainath Autolinks Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,1.4,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Santosh Automotors Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,1.25,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Vrion Global Pvt. Ltd.,CARE,Non-Fund-Based,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,1.06,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Non-Fund-Based at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Shrawasthi Agrotech Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,1.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Umang Boards Ltd.,CARE,Term Loan,B,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.83,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Swastika Steel & Allied Products Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.8,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Kothari Metsol Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.74,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Shrawasthi Agrotech Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.69,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Suryodaya Edibles (India) Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.54,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Dodhia Chem-Tex Private Limited,Infomerics,Long Term/Short Term (Proposed) bank facilities,IVR BB-/IVR A4; (INC)(Withdrawn),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.51,Chemicals/Pharma,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Dodhia Chem-Tex Private Limited,Infomerics,Long Term/Short Term (Proposed) bank facilities,IVR BB-/IVR A4; (INC)(Withdrawn),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.51,Chemicals/Pharma,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Space Age Associates Power-Infra Pvt. Ltd.,CRISIL,Fund-Based,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.5,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Vrion Global Pvt. Ltd.,CARE,Non-Fund-Based,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.49,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Non-Fund-Based at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Shrawasthi Agrotech Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.31,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Kent Intelligent Transportation Systems (India) Pvt. Ltd.,CRISIL,Fund-Based,BB,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.3,Logistics,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
C A I Inds. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.29,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Umang Boards Ltd.,CARE,Bank Guarantee,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.2,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Vasupujya Filaments,Infomerics,Long Term/Short Term (Proposed) bank facilities,IVR BB-/IVR A4; (INC)(Withdrawn),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.17,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Vasupujya Filaments,Infomerics,Long Term/Short Term (Proposed) bank facilities,IVR BB-/IVR A4; (INC)(Withdrawn),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.17,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Jai Hind Feeds,Infomerics,Proposed Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.17,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Tiger 4 India Ltd.,CRISIL,Term Loan,B+,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.01,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
O C S Services (India) Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
O C S Services (India) Pvt. Ltd.,BRICKWORK,Letter of Credit,B+,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Osia Gems Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-23,HOT,Q1 2027,Dec 2026,2026-12-23,,0.0,Jewellery,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Krishna Constellation Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,223.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Prince Corp Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,131.46,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Uttam Chand Rakesh Kumar,Infomerics,Long Term Bank Facilities,IVR BB (INC) (Downgraded),2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,81.63,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Ktex Nonwovens Pvt. Ltd.,CARE,NCD/Bond,BB/A4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,65.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
M/s Niranjan Rai,Infomerics,Short Term Bank Facilities,IVR A3 (INC)(Downgraded),2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,65.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Ktex Nonwovens Pvt. Ltd.,CARE,NCD/Bond,BB/A4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,62.48,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Chemical Process Equipments Pvt. Ltd.,CARE,Bank Guarantee,A 4+,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,51.6,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Prince Corp Private Limited,Infomerics,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,45.5,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Shreegopal Auto Pvt. Ltd.,CRISIL,Fund-Based,BB+,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,38.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
M/s Niranjan Rai,Infomerics,Long Term Bank Facilities,IVR BBB- (INC)(Downgraded),2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,35.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Anoj Kumar Agarwala,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,35.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Metco Roof Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,30.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Quality Exports,Infomerics,Long / Short Term Bank Facilities,IVR B+/IVR A4; (INC)(Downgraded),2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,30.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Deep (India) Enterprises Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,29.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Metco Roof Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,26.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Jaipur Jewels Global Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,25.0,Jewellery,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Sood Associates Pvt. Ltd.,BRICKWORK,Bank Guarantee,BB,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,23.31,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Pro Flexi Packaging Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,22.55,Paper/Packaging,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Vinayak Oil & Fats Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,22.5,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Chemical Process Equipments Pvt. Ltd.,CARE,Letter of Credit,A 4+,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,21.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
H R Ispat Pvt. Ltd.,CARE,Term Loan,B-,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,20.75,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
C D R Projects Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,18.75,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Danalakshmi Paper Mills Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,15.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Weener Empire Plastics Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,15.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Navkar Urbanstructure Ltd.,CARE,Bank Guarantee,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,14.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Veera Techno Trec Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,13.5,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Deep (India) Enterprises Pvt. Ltd.,BRICKWORK,Fund-Based,C,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,12.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Sharu Industries Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,12.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Anoj Kumar Agarwala,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,10.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Danalakshmi Paper Mills Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,9.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Shreegopal Auto Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,9.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Varad Agri-Tech Ltd.,CRISIL,Term Loan,B+,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,9.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Chemical Process Equipments Pvt. Ltd.,CARE,Term Loan,BB+,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,7.94,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Metco Roof Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,7.72,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
